id,qr_code_uid,qr_code_name
S001177-capitol,2017/03/18/65ngta6664_S001177_capitol.png,S001177-capitol.png
S001176-capitol,2017/03/18/63oxe9fr16_S001176_capitol.png,S001176-capitol.png
S001145-capitol,2017/03/18/5ss3vkcy1g_S001145_capitol.png,S001145-capitol.png
S001150-capitol,2017/03/18/6j9gnhv9oj_S001150_capitol.png,S001150-capitol.png
S000148-capitol,2017/03/18/6gamnvfzhj_S000148_capitol.png,S000148-capitol.png
S001189-capitol,2017/03/18/2wvdganncn_S001189_capitol.png,S001189-capitol.png
S000244-capitol,2017/03/18/25lt6zqqzn_S000244_capitol.png,S000244-capitol.png
S001183-capitol,2017/03/18/3m80sgdslc_S001183_capitol.png,S001183-capitol.png
S001184-capitol,2017/03/18/30esuvv94s_S001184_capitol.png,S001184-capitol.png
S001185-capitol,2017/03/18/qde3i7kd_S001185_capitol.png,S001185-capitol.png
S001165-capitol,2017/03/18/4qc26398gi_S001165_capitol.png,S001165-capitol.png
S000480-capitol,2017/03/18/7emqigq56f_S000480_capitol.png,S000480-capitol.png
R000575-capitol,2017/03/18/5911jysfc2_R000575_capitol.png,R000575-capitol.png
S000522-capitol,2017/03/18/7v7e09ourk_S000522_capitol.png,S000522-capitol.png
S000583-capitol,2017/03/18/40usxkakh9_S000583_capitol.png,S000583-capitol.png
S001175-capitol,2017/03/18/35884nq5w7_S001175_capitol.png,S001175-capitol.png
B001275-capitol,2017/03/18/1kzfvbopo0_B001275_capitol.png,B001275-capitol.png
R000409-capitol,2017/03/18/4b4plv3cll_R000409_capitol.png,R000409-capitol.png
R000591-capitol,2017/03/18/9pd0tdzsyg_R000591_capitol.png,R000591-capitol.png
T000462-capitol,2017/03/18/8lizwcc1u2_T000462_capitol.png,T000462-capitol.png
T000469-capitol,2017/03/18/177oia2mn5_T000469_capitol.png,T000469-capitol.png
T000461-capitol,2017/03/18/858sw84wbw_T000461_capitol.png,T000461-capitol.png
T000465-capitol,2017/03/18/1x4owc6dxi_T000465_capitol.png,T000465-capitol.png
